This is the 0 run 
original_address,Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA
destination_address,Robert_F._Kennedy_Bridge_Astoria_NY_11105_USA
time(in second),966


This is the 34 run 
original_address,Long_Island_Expy_Little_Neck_NY_11362_USA
destination_address,Queens_Midtown_Expy_Maspeth_NY_11378_USA
time(in second),1347


This is the 35 run 
original_address,Throgs_Neck_Bridge_Queens_NY_USA
destination_address,Long_Island_Expy_Little_Neck_NY_11362_USA
time(in second),385


