Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,1349,1273
Throgs_Neck_Bridge_Queens_NY_USA,1905,1833


This is the 21 run,Long_Island_Expy_Little_Neck_NY_11362_USA,249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA
Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,1411,1406
Cross_Island_Pkwy_Floral_Park_NY_11001_USA,388,355


This is the 22 run,Long_Island_Expy_Little_Neck_NY_11362_USA,249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA
Robert_F._Kennedy_Bridge_Astoria_NY_11103_USA,1900,1846
Queens_Midtown_Expy_Maspeth_NY_11378_USA,1737,1799


This is the 23 run,Long_Island_Expy_Little_Neck_NY_11362_USA,249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA
Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,806,981
Throgs_Neck_Bridge_Queens_NY_USA,716,898


This is the 24 run,Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,Cross_Island_Pkwy_Floral_Park_NY_11001_USA
Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,863,907
Throgs_Neck_Bridge_Queens_NY_USA,1397,812


This is the 25 run,Robert_F._Kennedy_Bridge_Astoria_NY_11105_USA,Queens_Midtown_Expy_Maspeth_NY_11378_USA
Long_Island_Expy_Little_Neck_NY_11362_USA,1602,1796
249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA,1655,1786


This is the 26 run,Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,Throgs_Neck_Bridge_Queens_NY_USA
Long_Island_Expy_Little_Neck_NY_11362_USA,459,349
249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA,522,405


This is the 27 run,Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,Cross_Island_Pkwy_Floral_Park_NY_11001_USA
Long_Island_Expy_Little_Neck_NY_11362_USA,1216,268
249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA,1100,205


